Module,DataVendor,TimePeriod,Date,Dimension,Value,Status,Total Rows,Failed Rows,Unused Tables,KPI/Chart,Attribute-KPI?Chart,Value-KPI/Chart,Data Quality Dimension,Attribute-DQ,Value-DQ,Data Load Status,Attribute-DL,Value-DL,Week_format,Dataset
Field Report,IQVIA,CM,2025-05-27,Completeness,0.92,In Progress,250,6,0,KPI,Total Row Processed,895623,Completeness,Claim_ID,0.45,Data Load Status,Rx Fact,Y,05/27,Rx Fact
Field Report,IQVIA,CM,2025-05-27,Uniqueness,0.19,Achieved,242,6,0,KPI,Failed Rows,26314,Completeness,Patient_ID,0.62,Data Load Status,Product,Y,05/27,Rx Fact
Field Report,IQVIA,CM,2025-05-27,Validity,0.22,In Progress,223,5,0,KPI,Unused Tables,38,Completeness,Claim_Type,0.45,Data Load Status,Plan,Y,05/27,Rx Fact
Field Report,IQVIA,CM,2025-05-27,Consistency,0.73,Achieved,229,6,1,Reported Issue,Open(Verify Failed),3,Completeness,Refill_Code,0.45,Data Load Status,Reject,Y,05/27,Rx Fact
Field Report,IQVIA,CM,2025-05-27,Timeliness,0.51,Achieved,203,5,1,Reported Issue,Open,4,Completeness,Payer_Plan_ID,0.62,Data Load Status,Geography,N,05/27,Rx Fact
Field Report,IQVIA,CM,2025-05-27,Accuracy,0.75,In Progress,235,7,1,Reported Issue,Fixed,5,Completeness,OPC_Ask,0.45,Data Load Status,Patient Demographics,N,05/27,Rx Fact
Field Report,IQVIA,QTD,2025-04-03,Completeness,0.24,In Progress,205,6,1,Reported Issue,Closed,3,Completeness,OPC_Paid,0.62,Data Load Status,Patient Activity,Y,04/03,Prescriber
Field Report,IQVIA,QTD,2025-05-03,Uniqueness,0.65,In Progress,232,6,0,Recurring Issue,Incorrect Date Format,3,Completeness,Provider_ID,0.45,Data Load Status,Patient MPD,Y,05/03,Prescriber
Field Report,IQVIA,QTD,2025-04-14,Validity,0.69,In Progress,202,6,1,Recurring Issue,Null Values,4,Completeness,SoB,0.45,Data Load Status,Provider,N,04/14,Prescriber
Field Report,IQVIA,QTD,2025-04-17,Consistency,0.63,Achieved,206,6,0,Recurring Issue,Data Type,5,Completeness,Claim_Status,0.45,Data Load Status,Patient Commercial,N,04/17,Prescriber
Field Report,IQVIA,QTD,2025-05-25,Timeliness,0.41,In Progress,248,6,1,Recurring Issue,Incorrect Data,3,Uniqueness,Claim_ID,0.12,Error Warnings,Rx Fact,3,05/25,Prescriber
Field Report,IQVIA,QTD,2025-05-16,Accuracy,0.57,Achieved,231,5,1,KPI,Total Row Processed,752000,Uniqueness,Patient_ID,0.37,Error Warnings,Product,1,05/16,Prescriber
Field Report,IQVIA,YTD,2025-02-09,Completeness,0.49,In Progress,240,5,0,KPI,Failed Rows,17890,Uniqueness,Claim_Type,0.32,Error Warnings,Plan,2,02/09,Patients
Field Report,IQVIA,YTD,2025-01-18,Uniqueness,0.7,Achieved,208,6,1,KPI,Unused Tables,12,Validity,Patient_ID,0.98,Error Warnings,Reject,3,01/18,Patients
Field Report,IQVIA,YTD,2025-03-20,Validity,0.8,In Progress,232,7,1,Reported Issue,Open(Verify Failed),2,Validity,Claim_Type,0.07,Error Warnings,Geography,2,03/20,Patients
Field Report,IQVIA,YTD,2025-03-18,Consistency,0.15,In Progress,201,6,1,Reported Issue,Fixed,3,Consistency,Claim_ID,0.74,Error Warnings,Patient Demographics,3,03/18,Patients
Field Report,IQVIA,YTD,2025-02-01,Timeliness,0.42,In Progress,233,5,0,Recurring Issue,Data Type,4,Consistency,Patient_ID,0.86,Error Warnings,Patient Activity,1,02/01,Patients
Field Report,IQVIA,YTD,2025-01-23,Accuracy,0.5,Achieved,243,6,1,KPI,Total Row Processed,895623,Timeliness,Claim_ID,0.39,Error Warnings,Patient MPD,3,01/23,Patients
Field Report,IQVIA,CM,2025-05-27,Completeness,0.94,In Progress,205,7,1,KPI,Failed Rows,26314,Timeliness,Patient_ID,0.13,Error Warnings,Provider,2,05/27,Prescriber
Field Report,IQVIA,CM,2025-05-27,Uniqueness,0.77,In Progress,237,7,1,KPI,Unused Tables,38,Accuracy,Claim_ID,0.43,Error Warnings,Patient Commercial,3,05/27,Prescriber
Field Report,IQVIA,CM,2025-05-27,Validity,0.67,In Progress,211,7,1,Reported Issue,Open(Verify Failed),3,Accuracy,Patient_ID,0.04,Fatal Errors,Plan,2,05/27,Prescriber
Field Report,IQVIA,CM,2025-05-27,Consistency,0.69,In Progress,232,6,0,Reported Issue,Open,4,Completeness,Claim_ID,0.45,Fatal Errors,Reject,3,05/27,Prescriber
Field Report,IQVIA,CM,2025-05-27,Timeliness,0.51,Achieved,250,5,0,Reported Issue,Fixed,5,Completeness,Patient_ID,0.62,Fatal Errors,Provider,2,05/27,Prescriber
