hco_veeva_crm_id,hco_name,reporting_parent_tier,hco_city,hco_state,territory_id,territory_name,region_id,region_name,avlayah_sp_pt_ct,avlayah_hub_pt_ct,avlayah_crm_pt_ct,total_mpsii_avlayah,total_mpsii_elaprase,total_mpsii_avlayah_elaprase,total_mpsii_avlayah_u17,total_mpsii_elaprase_u17,total_mpsii_avlayah_elaprase_u17
V4T00000000N634,Caroline Kingston MD MPH Family Prectice LLC,Tier 3,SANTA FE,NM,2009,Southwest,202,West,0,0,0,0,0,0,0,0,0
V4T000000011206,Jersey Shore University Medical Center,Tier 2,NEPTUNE,NJ,2013,NY Metro,201,East,0,0,0,0,0,0,0,0,0
V4T00000001S676,Saint Peter's University Hospital,Tier 1,NEW BRUNSWICK,NJ,2013,NY Metro,201,East,0,0,0,0,2,2,0,1,1
V4T00000001G746,Ascend Hospice,Tier 3,LEAWOOD,KS,2009,Southwest,202,West,0,0,0,0,1,1,0,0,0
V4T000000011322,University Medical Center of El Paso,Tier 2,EL PASO,TX,2009,Southwest,202,West,0,0,0,0,1,1,0,0,0
V4T000000025674,UCLA Health,Tier 1,LOS ANGELES,CA,2010,Southern Cal,202,West,0,0,0,0,3,3,0,1,1
V4T00000000Q147,Shults Pediatrics P. C.,Tier 3,KNOXVILLE,TN,2003,MidAtlantic CTL,201,East,0,0,0,0,1,1,0,1,1
V4T00000002B184,The Medical College of Wisconsin Inc.,Tier 2,MILWAUKEE,WI,2006,Midwest,202,West,0,0,0,0,0,0,0,0,0
V4T00000001I383,"Pediatrix Medical Group of Florida, Inc.",Tier 3,FORT LAUDERDALE,FL,2004,Southeast-ATL,201,East,0,0,0,0,1,1,0,0,0
V4T00000000O896,Tuscaloosa Pediatrics,Tier 3,TUSCALOOSA,AL,2004,Southeast-ATL,201,East,0,0,0,0,2,2,0,2,2
V4T000000011343,Synaptoveda PA,Tier 3,SAN ANTONIO,TX,2011,Southcentral,202,West,0,0,0,0,0,0,0,0,0
V4T00000001G478,Columbia- Cornell Weill Medicine,Tier 1,NEW YORK,NY,2013,NY Metro,201,East,0,0,0,0,2,2,0,2,2
V4T00000002A075,Anne Arundel Medical Center,Tier 3,ANNAPOLIS,MD,2003,MidAtlantic CTL,201,East,0,0,0,0,0,0,0,0,0
V4T00000001O777,Florida Cancer Specialists,Tier 3,ORLANDO,FL,2004,Southeast-ATL,201,East,0,0,0,0,0,0,0,0,0
V4T00000001J994,SSM Health Saint Louis University Hospital,Tier 2,SAINT LOUIS,MO,2006,Midwest,202,West,0,0,0,0,2,2,0,0,0
V4T00000001S408,University of Rochester,Tier 1,ROCHESTER,NY,2001,New England,201,East,0,0,0,0,0,0,0,0,0
V4T00000000N777,Yale-New Haven Hospital,Tier 1,NEW HAVEN,CT,2001,New England,201,East,0,0,0,0,0,0,0,0,0
V4T000000034880,Medpace Inc,Tier 2,CINCINNATI,OH,2002,Northeast-PA,201,East,0,0,0,0,1,1,0,0,0
V4T00000000M560,Erlanger Medical Center,Tier 2,CHATTANOOGA,TN,2003,MidAtlantic CTL,201,East,0,0,0,0,0,0,0,0,0
V4T00000001Q270,Detroit Medical Center - DMC,Tier 1,DETROIT,MI,2005,Great Lakes-Detroit,201,East,0,0,0,0,1,1,0,0,0
V4T00000002C385,Utah Valley Pediatrics LLC,Tier 3,PROVO,UT,2009,Southwest,202,West,0,0,0,0,0,0,0,0,0
V4T00000000M970,Lawrence General Hospital,Tier 3,LAWRENCE,MA,2001,New England,201,East,0,0,0,0,0,0,0,0,0
V4T00000002B287,University of Michigan Hospitals and Health Centers,Tier 1,ANN ARBOR,MI,2005,Great Lakes-Detroit,201,East,0,0,0,0,2,2,0,0,0
V4T00000000O046,St. Joseph's Healthcare System,Tier 1,PATERSON,NJ,2013,NY Metro,201,East,0,0,0,0,0,0,0,0,0
V4T00000000M740,James Robert Eells MD Ltd.,Tier 3,LAS VEGAS,NV,2010,Southern Cal,202,West,0,0,0,0,0,0,0,0,0
V4T00000001O595,Queen's Medical Center,Tier 2,HONOLULU,HI,2010,Southern Cal,202,West,0,0,0,0,0,0,0,0,0
V4T00000000L538,Modesto City Hospital,Tier 2,MODESTO,CA,2010,Southern Cal,202,West,0,0,0,0,0,0,0,0,0
V4T00000001S899,University of Virginia Medical Center,Tier 1,CHARLOTTESVILLE,VA,2003,MidAtlantic CTL,201,East,0,0,0,0,1,1,0,0,0
V4T000000011295,East Tennessee Childrens Hospital,Tier 1,KNOXVILLE,TN,2003,MidAtlantic CTL,201,East,0,0,0,0,1,1,0,1,1
V4T00000001T479,Vanderbilt- Monroe Carell Jr Children's Hospital,Tier 1,NASHVILLE,TN,2003,MidAtlantic CTL,201,East,0,0,0,0,1,1,0,0,0
V4T00000000L791,UC Davis Hospital,Tier 1,SACRAMENTO,CA,2010,Southern Cal,202,West,0,0,0,0,2,2,0,1,1
V4T00000000L203,Akron Children's Hospital,Tier 1,AKRON,OH,2002,Northeast-PA,201,East,0,0,0,0,1,1,0,1,1
V4T00000001K610,Kaiser NorCal,Tier 1,RICHMOND,CA,2012,Pac Northwest,202,West,0,0,0,0,4,4,0,2,2
V4T00000000O816,Kettering Independent Medical Group Inc.,Tier 3,MIAMISBURG,OH,2005,Great Lakes-Detroit,201,East,0,0,0,0,0,0,0,0,0
V4T00000000N416,Albany Medical Center,Tier 2,ALBANY,NY,2001,New England,201,East,0,0,0,0,1,1,0,1,1
V4T00000000O657,WK Bossier Health Center,Tier 2,BOSSIER CITY,LA,2011,Southcentral,202,West,0,0,0,0,0,0,0,0,0
V4T00000001N452,University of North Carolina Hospitals,Tier 1,CHAPEL HILL,NC,2003,MidAtlantic CTL,201,East,0,0,0,0,2,2,0,0,0
V4T00000001R584,St. Vincent Indianapolis Hospital,Tier 2,INDIANAPOLIS,IN,2005,Great Lakes-Detroit,201,East,0,0,0,0,1,1,0,0,0
V4T00000000Q056,Concord Family Practice,Tier 3,KNOXVILLE,TN,2003,MidAtlantic CTL,201,East,0,0,0,0,0,0,0,0,0
V4T00000000O858,Texas Childrens Hospital,Tier 1,HOUSTON,TX,2011,Southcentral,202,West,0,0,0,0,2,2,0,2,2
V4T000000026630,UCSD Health,Tier 2,SAN DIEGO,CA,2010,Southern Cal,202,West,0,0,0,0,0,0,0,0,0
V4T00000001R432,Indiana Clinic-Neurology LLC,Tier 3,INDIANAPOLIS,IN,2005,Great Lakes-Detroit,201,East,0,0,0,0,0,0,0,0,0
V4T00000000M467,Carilion Medical Group,Tier 2,ROANOKE,VA,2003,MidAtlantic CTL,201,East,0,0,0,0,1,1,0,0,0
V4T00000000Q062,Christus Childrens San Antonio,Tier 1,SAN ANTONIO,TX,2011,Southcentral,202,West,0,0,0,0,2,2,0,2,2
V4T00000000M725,Dell Children's Medical Center of Central Texas,Tier 2,Austin,TX,2011,Southcentral,202,West,0,0,0,0,1,1,0,1,1
V4T00000000M374,Women and Infants Hospital of Rhode Island,Tier 2,PROVIDENCE,RI,2001,New England,201,East,0,0,0,0,0,0,0,0,0
V4T000000002403,UCSF Benioff Childrens Hospital-Oakland,Tier 1,OAKLAND,CA,2012,Pac Northwest,202,West,0,0,0,0,2,2,0,0,0
V4T000000011271,Lexington Health Inc,Tier 2,LEXINGTON,SC,2004,Southeast-ATL,201,East,0,0,0,0,0,0,0,0,0
V4T00000000N406,Childrens Hospital Los Angeles,Tier 1,LOS ANGELES,CA,2010,Southern Cal,202,West,0,0,0,0,1,1,0,1,1
V4T000000035319,North Jersey Primary Care Associates,Tier 3,HACKENSACK,NJ,2013,NY Metro,201,East,0,0,0,0,1,1,0,0,0
V4T00000001L779,University of Kentucky,Tier 2,LEXINGTON,KY,2005,Great Lakes-Detroit,201,East,0,0,0,0,0,0,0,0,0
V4T00000002C185,City of Hope Medical Foundation,Tier 3,DUARTE,CA,2010,Southern Cal,202,West,0,0,0,0,0,0,0,0,0
V4T00000000N825,Baptist Medical Center,Tier 2,JACKSONVILLE,TX,2011,Southcentral,202,West,0,0,0,0,0,0,0,0,0
V4T00000000O249,Childrens Minnesota Hospital-Minneapolis,Tier 2,MINNEAPOLIS,MN,2006,Midwest,202,West,0,0,0,0,0,0,0,0,0
V4T00000002C151,Perlman Clinic,Tier 3,LA JOLLA,CA,2010,Southern Cal,202,West,0,0,0,0,0,0,0,0,0
V4T000000002213,St. Louis Children's Hospital,Tier 1,SAINT LOUIS,MO,2006,Midwest,202,West,0,0,0,0,2,2,0,1,1
V4T00000000Q092,Towne Centre Surgery Center LLC,Tier 3,SAGINAW,MI,2005,Great Lakes-Detroit,201,East,0,0,0,0,0,0,0,0,0
