Dataset,Module,Completeness,Uniqueness,Validity,Accuracy,Timeliness,Consistency,Status,Week_format,Record_ID,Data_Vendor,Date,Time_Period,Pipeline_Success_Rate_Pct,Mean_Time_to_Fix_Failure_Hours,Mean_Time_Between_Failures_Hours,Error_Rate_Pct,Record_Completeness_Score_Pct,On_Time_Data_Delivery_Rate_Pct,Validation_Failure_Rate_Pct,Null_Value_Rate_Pct,Duplication_Rate_Pct,User_Reported_Issues,Data_Freshness,Incident_Frequency
Subscriber,Marketing Report,0.44,0.17,0.247,0.445,0.144,0.308,Achieved,03/23,1,SFMC,2025-03-23,CM,0.1129,7.2,53.6,0.001,0.0,0.0094,0.0023,0.0065,0.0089,4,0.0065,1.73
Subscriber,Marketing Report,0.15,0.31,0.147,0.445,0.144,0.308,Achieved,11/06,4,SFMC,2025-11-06,QTD,0.0143,4.4,68.6,0.0042,0.0,0.0,0.0087,0.0023,0.0025,5,0.0023,0.65
Email,Field Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,12/16,5,SFMC,2025-12-16,QTD,0.0169,3.8,74.6,0.0076,0.0,0.0072,0.0028,0.0088,0.0072,5,0.0088,1.66
Email,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,In Progress,03/25,7,SFMC,2025-03-25,QTD,0.0102,7.9,72.4,0.0048,0.0,0.006,0.0071,0.0075,0.0045,5,0.0075,0.48
Subscriber,Field Report,0.15,0.31,0.247,0.445,0.244,0.308,In Progress,07/04,11,SFMC,2025-07-04,QTD,0.0083,6.8,95.3,0.0054,0.0,0.0,0.0095,0.007,0.0099,0,0.007,1.88
Subscriber,Field Report,0.15,0.31,0.147,0.445,0.144,0.308,In Progress,03/23,12,SFMC,2025-03-23,CM,0.0064,4.0,73.9,0.008,0.0,0.0,0.0049,0.0017,0.0014,1,0.0017,0.42
Prescriber,Field Report,0.15,0.31,0.247,0.245,0.244,0.308,In Progress,03/23,14,IQVIA,2025-03-23,CM,0.0128,8.0,75.8,0.0094,0.0,0.0,0.0073,0.0048,0.0098,3,0.0048,0.52
Subscriber,Field Report,0.15,0.31,0.247,0.445,0.144,0.308,In Progress,05/12,17,SFMC,2025-05-12,QTD,0.007,7.5,75.9,0.0062,0.0,0.0068,0.0064,0.0072,0.0024,2,0.005,0.39
Prescriber,Field Report,0.15,0.31,0.147,0.445,0.144,0.308,Achieved,06/24,19,IQVIA,2025-06-24,QTD,0.0096,4.9,67.1,0.0097,0.0,0.0,0.0075,0.0084,0.0027,1,0.0072,0.18
Patients,Marketing Report,0.44,0.17,0.247,0.445,0.144,0.308,In Progress,12/15,24,IQVIA,2025-12-15,QTD,0.0174,9.0,72.8,0.0047,0.0,0.0139,0.0013,0.0066,0.0053,5,0.0027,0.25
Patients,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,In Progress,04/17,27,IQVIA,2025-04-17,QTD,0.0178,8.8,89.3,0.0064,0.0,0.0157,0.0014,0.0044,0.0073,5,0.0097,0.87
Email,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,In Progress,03/01,29,SFMC,2025-03-01,YTD,0.016,5.7,93.5,0.0076,0.0,0.0,0.0061,0.0011,0.0024,4,0.0087,0.65
Patients,Marketing Report,0.15,0.17,0.247,0.445,0.244,0.308,Achieved,03/23,30,IQVIA,2025-03-23,CM,0.0137,7.0,69.1,0.0016,0.0,0.0093,0.0085,0.008,0.0095,1,0.0081,1.27
Patients,Field Report,0.44,0.17,0.147,0.245,0.244,0.308,In Progress,09/13,33,IQVIA,2025-09-13,QTD,0.0164,9.6,94.3,0.0062,0.0,0.0141,0.0048,0.0054,0.0021,3,0.0054,1.51
Email,Marketing Report,0.15,0.17,0.247,0.245,0.244,0.308,Achieved,03/23,35,SFMC,2025-03-23,CM,0.0169,3.7,85.0,0.0013,0.0,0.0051,0.008,0.003,0.0026,5,0.015,1.8
Subscriber,Marketing Report,0.15,0.17,0.147,0.245,0.144,0.308,In Progress,09/05,39,SFMC,2025-09-05,QTD,0.0087,5.1,66.3,0.0042,0.0,0.007,0.0094,0.006,0.0024,2,0.0139,1.96
Rx Fact,Field Report,0.15,0.31,0.147,0.445,0.144,0.308,In Progress,02/23,41,IQVIA,2025-02-23,QTD,0.0112,2.1,96.0,0.0038,0.0,0.0056,0.0046,0.0057,0.005,0,0.0086,0.15
Patients,Marketing Report,0.44,0.31,0.147,0.445,0.144,0.308,Achieved,12/10,43,IQVIA,2025-12-10,YTD,0.0123,9.7,78.4,0.0081,0.0,0.0,0.0052,0.007,0.0048,4,0.0059,1.93
Rx Fact,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,In Progress,08/24,46,IQVIA,2025-08-24,YTD,0.0171,3.1,64.8,0.0032,0.0,0.0,0.0056,0.0026,0.0022,1,0.0013,0.66
Prescriber,Marketing Report,0.44,0.31,0.247,0.245,0.144,0.308,Achieved,04/16,49,IQVIA,2025-04-16,QTD,0.0137,2.8,64.3,0.004,0.0,0.0133,0.0049,0.0026,0.0065,5,0.0087,1.11
Rx Fact,Field Report,0.15,0.31,0.147,0.445,0.244,0.308,Achieved,04/14,52,IQVIA,2025-04-14,YTD,0.0059,6.0,51.0,0.003,0.0,0.0108,0.0066,0.0045,0.01,5,0.0038,0.29
Patients,Field Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,01/26,54,IQVIA,2025-01-26,YTD,0.0107,4.3,76.2,0.0065,0.0,0.0085,0.0035,0.0035,0.0081,4,0.0081,1.99
Prescriber,Field Report,0.15,0.31,0.147,0.245,0.144,0.308,Achieved,03/23,56,IQVIA,2025-03-23,CM,0.0166,4.4,73.6,0.0085,0.0,0.0111,0.0077,0.0064,0.0089,5,0.0049,0.17
Prescriber,Field Report,0.44,0.31,0.247,0.245,0.144,0.308,Achieved,06/04,58,IQVIA,2025-06-04,YTD,0.0075,4.2,95.8,0.0096,0.0,0.0058,0.0047,0.0086,0.0029,0,0.0014,1.21
Email,Field Report,0.44,0.31,0.247,0.445,0.244,0.308,In Progress,04/29,60,SFMC,2025-04-29,QTD,0.1141,5.9,82.0,0.0098,0.0,0.0066,0.0011,0.0052,0.004,1,0.007,1.44
Sent,Marketing Report,0.15,0.31,0.147,0.245,0.144,0.308,Achieved,03/23,63,SFMC,2025-03-23,CM,0.0115,5.8,59.0,0.0095,0.0,0.007,0.0089,0.0063,0.0089,5,0.0088,0.41
Subscriber,Field Report,0.44,0.31,0.147,0.245,0.244,0.308,Achieved,03/23,65,SFMC,2025-03-23,CM,0.0098,7.3,86.8,0.0015,0.0,0.0084,0.0047,0.0098,0.0047,2,0.0075,0.81
Patients,Marketing Report,0.44,0.31,0.147,0.245,0.144,0.308,Achieved,01/26,70,IQVIA,2025-01-26,YTD,0.0199,5.6,99.9,0.0074,0.0,0.0151,0.008,0.0042,0.0081,3,0.0017,0.25
Sent,Field Report,0.15,0.31,0.247,0.245,0.144,0.308,Achieved,03/23,72,SFMC,2025-03-23,CM,0.157,4.0,93.9,0.0016,0.0,0.0138,0.0067,0.0034,0.0081,4,0.0048,1.22
Prescriber,Marketing Report,0.44,0.17,0.147,0.445,0.244,0.308,In Progress,03/23,77,IQVIA,2025-03-23,CM,0.0148,4.9,98.3,0.0076,0.0,0.0,0.0034,0.0092,0.0089,3,0.0072,1.74
Sent,Marketing Report,0.15,0.17,0.147,0.245,0.244,0.308,In Progress,03/23,79,SFMC,2025-03-23,CM,0.015,9.3,73.1,0.0067,0.0,0.0,0.0027,0.0039,0.0049,0,0.0045,1.31
Patients,Marketing Report,0.15,0.17,0.247,0.445,0.244,0.308,In Progress,11/24,81,IQVIA,2025-11-24,YTD,0.007,7.4,79.3,0.0026,0.0,0.0,0.003,0.0064,0.0093,3,0.0064,1.34
Rx Fact,Field Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,11/24,83,IQVIA,2025-11-24,YTD,0.112,9.4,82.8,0.0082,0.0,0.0,0.0086,0.0021,0.0064,5,0.0099,1.89
Subscriber,Marketing Report,0.15,0.31,0.247,0.245,0.144,0.308,Achieved,03/23,86,SFMC,2025-03-23,CM,0.0199,7.9,91.9,0.003,0.0,0.0,0.0014,0.008,0.0096,5,0.0098,0.19
